t,Rg_rep1,Rg_rep2,Rg_rep3,RMSD_BB_rep1,RMSD_BB_rep2,RMSD_BB_rep3,RMSD_ligand_rep1,RMSD_ligand_rep2,RMSD_ligand_rep3,RMSD_pocket_rep1,RMSD_pocket_rep2,RMSD_pocket_rep3
23.5,21.887875,20.39057012,21.53032933,1.9764279,2.139574901,2.12632038,0.82127595,0.89205621,0.841542486,1.1608931,1.150472969,1.201658346
24,21.908401,21.48864993,22.83890409,2.0164673,2.163815031,1.924978367,0.81048274,0.765620669,0.815537161,1.2382991,1.182902117,1.247599772
24.5,21.877508,22.58122735,21.70372772,2.0750751,2.034133337,1.961668945,0.80458862,0.80438257,0.823246216,1.257115,1.246841674,1.152871075
25,21.849495,22.21828667,20.82577322,2.1033421,2.251362893,2.01822635,0.7987833,0.802401186,0.782323105,1.1020832,1.137566906,1.148430901
25.5,21.818331,19.58176432,23.6256311,2.1236446,2.118471571,2.306521758,0.8400538,0.80463586,0.873918863,1.1410278,1.071492821,1.166112946
26,21.817291,20.85934571,19.26843267,2.1538465,2.11786397,2.275551712,0.94766831,0.991066901,1.072236778,1.1852038,1.106601516,1.212041343
26.5,21.818901,21.85231828,22.07422503,2.0979249,2.047137344,2.171215469,0.89512634,0.880460899,0.927737072,1.2301577,1.291835213,1.238456118
27,21.787422,22.37362941,21.3801978,2.0978885,2.238174105,2.135835024,0.97601569,0.968475692,0.9090713,1.2567767,1.213044477,1.138487209
27.5,21.84466,21.60015401,23.33112209,2.1129978,2.138617559,2.064603671,1.0053899,1.014266154,1.04138062,1.3955765,1.319909174,1.504054242
28,21.893114,21.99216916,23.22890084,2.1128507,2.136961319,2.054388891,0.86779749,0.977030373,0.881888527,1.4088259,1.541033265,1.326685223
28.5,21.943752,21.00758398,21.82901569,2.1407468,2.109986049,2.252709672,1.083937,1.004623053,1.085672721,1.3467326,1.30695638,1.154731001
29,21.992348,22.33939275,19.51681959,2.1291182,2.257488445,2.043784679,1.1380183,1.096532763,1.21388097,1.2101889,1.170606862,1.222235439
29.5,21.933672,19.57877534,22.08860392,2.1131749,2.095987823,1.974131459,0.99928027,0.946197782,1.006596583,1.1636378,1.132834013,1.031263975
30,21.883474,20.924036,22.25749778,2.0723045,2.062537464,2.194491756,0.78493446,0.715949381,0.752846837,1.1429763,1.059136403,1.204948251
30.5,21.795544,24.11594896,21.01101843,1.9820548,1.854467695,1.996660042,0.87543488,0.827426662,0.869484717,1.0537559,1.150538823,1.058701573
31,21.799286,24.9657055,23.46361106,1.9741808,1.858536583,2.061164782,0.94582373,0.9284088,0.913773479,1.1486483,1.16826466,0.989849842
31.5,21.865328,23.75525505,22.84358647,1.9989963,1.900360118,2.075348916,0.86392182,0.853326776,0.871071271,1.1274832,1.171304953,1.096015664
32,21.831362,22.30593878,23.57613301,2.0107441,1.97292642,1.831062814,0.97173309,0.96523108,0.933622771,1.0473204,0.975322579,0.970533733
32.5,21.796186,21.53662204,22.20083992,2.0945897,2.066691075,2.045728942,0.88081586,0.891040806,0.973794358,1.1195321,1.088446768,1.120528844
33,21.791094,22.30486101,21.53090071,2.0758822,2.180996137,2.135325128,0.69121557,0.696587329,0.665910278,1.0280656,1.046147033,0.972349109
33.5,21.792858,21.85077835,22.37582346,2.0580597,2.058068384,2.007738247,0.87988782,0.848143314,0.922825226,1.0582538,1.075000363,1.075967908
34,21.803827,21.69776599,21.9307482,2.0759113,2.293172887,2.083016144,0.70384961,0.759219872,0.700812136,1.1267313,1.148468569,1.149690057
34.5,21.844152,21.01073512,21.41029876,2.1161237,1.998423686,1.908986434,0.72291243,0.765967032,0.725724563,1.1799556,1.195457221,1.152781392
35,21.839231,22.36352913,20.33568666,2.0765953,1.895455347,2.157653636,0.91177851,0.954059434,0.894443507,1.2172462,1.244903271,1.111027197
35.5,21.799089,20.58877013,21.71759804,2.0553045,2.006848147,1.985962047,0.73769552,0.74742267,0.674934332,1.12033,1.123269006,1.137817604
36,21.838013,21.51899109,20.69090685,2.0644069,2.053724805,2.138557382,0.67937958,0.670820166,0.64889278,1.0105498,1.018258401,1.059917502
36.5,21.834862,23.44135321,22.29931516,2.1274114,1.854394479,2.138964297,0.56733537,0.560616693,0.545894763,1.0777068,1.087218232,1.126462829
37,21.823217,22.14619405,22.37267708,2.1051469,2.066000159,2.067001716,0.67382902,0.614642514,0.693391533,1.0769254,1.094586733,1.021701628
37.5,21.821457,23.70612192,20.42513922,2.064502,1.906169003,2.054637142,0.72825032,0.759704471,0.730839861,1.0728147,1.055192366,1.095767924
38,21.850403,21.78340492,21.92146796,2.0578969,1.949559071,2.18555992,0.90253907,0.887446082,0.844302572,1.2146058,1.293557885,1.249120419
38.5,21.851593,22.48819026,22.09812599,2.0552425,2.233258522,2.19460962,0.80225444,0.849483636,0.807265158,1.1744394,1.200223435,1.193013381
39,21.872175,23.77935706,23.79833054,2.0586393,2.103825728,2.140603093,0.89658475,0.933702829,0.923865839,1.2101663,1.192221291,1.186560003
39.5,21.873125,21.94590325,22.02508854,2.0803299,2.007786318,1.908451713,0.83024138,0.871321057,0.795216593,1.2736334,1.198597058,1.314835017
40,21.849482,22.70417949,19.90578639,2.1101248,2.090009924,2.119925483,0.87007713,0.921030895,0.87085299,1.1647162,1.208443664,1.187375683
40.5,21.860025,23.84999353,20.00596955,2.109606,2.186688334,1.895390173,0.77674055,0.715687179,0.819832643,1.1307399,1.126954569,1.136999664
41,21.846176,20.56598223,22.29419965,2.1457183,2.090114173,2.319160092,0.855591,0.920240672,0.863027713,1.211823,1.250451907,1.09281296
41.5,21.832766,21.06978678,21.49207839,2.1035168,1.996898224,2.189590009,0.74898666,0.750214328,0.733055309,1.1866453,1.114464031,1.168675225
42,21.823786,21.09144491,21.16737293,2.0745053,2.106868565,2.226761081,0.91685987,0.969822832,0.973856566,1.129509,1.163889078,1.027299594
42.5,21.836224,19.33456845,23.91534572,2.0302699,2.06116723,1.951690082,0.92449582,0.927825557,1.018223012,1.2216032,1.246883685,1.141347882
43,21.824741,23.58840889,23.02686606,2.0220904,1.813487684,1.964821769,0.87326497,0.847455474,0.866465685,1.1241748,1.1573889,1.173828146
43.5,21.791779,20.06849122,20.98585762,2.0880451,2.242137509,2.120964455,1.0406224,1.059788407,1.056620107,1.1698995,1.219420409,1.23958258
44,21.805046,21.18257336,23.29504714,2.1456532,2.232955933,2.347238861,0.76157886,0.802265127,0.773149915,1.1313887,1.144562478,1.154509855
44.5,21.8524,22.1085111,21.23114296,2.1226964,2.151389231,2.041303536,0.80981147,0.774854125,0.756316541,1.1104968,1.102305294,1.097932446
45,21.871557,21.70476174,22.04259519,2.0936244,2.133758537,2.095740745,0.8960768,0.940872766,0.921763833,1.1756209,1.113399043,1.095902284
45.5,21.879971,21.7432113,23.77543741,2.0336742,2.184314096,2.064902196,0.88265985,0.849843076,0.9309062,1.2572699,1.20558039,1.278973366
46,21.847179,22.06816998,20.88971018,2.0754628,2.163087303,2.041646736,0.89438522,0.894896185,0.746888515,1.1889062,1.267906674,1.201618681
46.5,21.782209,22.71535228,21.70672705,2.09657,2.184816735,2.223728492,0.8462128,0.869657824,0.771916998,1.2346815,1.378377011,1.229830112
47,21.740601,21.51758408,21.40861381,2.1129265,1.901261733,1.979475391,0.85803694,0.926862415,0.795050182,1.1212838,1.095623252,1.055379996
47.5,21.771713,21.8891501,22.84275904,2.0776062,2.213642731,2.179958955,0.80393243,0.73952701,0.746051465,1.0658926,0.999186525,1.057006695
48,21.834047,20.08592811,22.35084592,2.0843377,2.00157529,2.11827696,0.91993201,0.940153799,0.850087215,1.1427761,1.172727567,1.108397145
48.5,21.860224,22.16219477,20.29094891,2.0707085,1.924437184,2.175943053,0.90633154,0.80164556,1.023941915,1.1482244,1.151344906,1.145361246
49,21.847918,21.3325518,19.5039833,2.0717289,2.119315039,2.156520923,1.00116,1.036298395,1.079092098,1.1694424,1.17752567,1.255903501
49.5,21.853561,22.68414174,22.03345988,2.0988281,2.122881864,2.154427649,0.67373163,0.691587698,0.676926918,1.1633537,1.122364488,1.205266765
50,21.784632,21.58899357,22.8100502,2.0711279,2.091505323,1.993090124,0.84854758,0.883360453,0.823663587,1.0946304,1.073080347,1.07593031
50.5,21.748705,22.31544065,21.49826916,2.0937722,2.065941906,2.113844213,0.93687695,0.931370823,0.989279247,1.1354342,1.182527414,1.061257984
51,21.774796,19.60487185,22.77481008,2.1364522,1.997959642,2.115406957,0.91816157,0.850117286,0.786583489,1.236985,1.092652593,1.212325119
51.5,21.832184,21.0917843,21.53429867,2.1284325,2.208188473,2.186773912,0.88091868,0.868370695,0.906886375,1.2789532,1.291601413,1.278546137
52,21.838009,23.02732607,20.94871712,2.1435301,2.285826859,2.245644353,0.97235101,0.968989693,0.939430591,1.3217195,1.411172543,1.243179798
52.5,21.849247,21.94989191,21.1484406,2.1848435,2.093364297,2.12600519,1.0284008,0.99783671,1.022533128,1.3516741,1.251613957,1.321399748
53,21.817789,20.84893315,21.42030049,2.2346244,2.194622759,2.317486939,1.0080036,1.04850443,1.048147381,1.3626382,1.479877535,1.398942459
53.5,21.772493,20.26781613,21.43562399,2.2673433,2.311877036,2.191698219,0.86618418,0.821119045,0.856146234,1.3421265,1.373981677,1.332282347
54,21.755564,21.6129708,22.67087179,2.2729671,2.064887665,2.241120807,0.94091475,0.984587167,0.88423766,1.3256013,1.285501813,1.270106685
54.5,21.760593,21.17969371,23.68007906,2.2980096,2.175094534,2.190846427,0.75963956,0.734788587,0.711638057,1.3363584,1.364949149,1.31686965
55,21.781719,21.57561565,23.69967023,2.3222766,2.360438804,2.333474705,0.90168417,0.91800113,0.914878,1.34761,1.436596843,1.241380416
55.5,21.804605,21.43088917,20.17053907,2.3049302,2.134727491,2.304656983,1.0044885,1.058089132,0.981505222,1.3644266,1.341812036,1.391009784
56,21.785,22.99906982,20.5841285,2.3234081,2.367945175,2.445741229,0.83192462,0.826469793,0.888390413,1.3030987,1.325823171,1.202310186
56.5,21.768711,23.89226243,22.0355274,2.3169363,2.557547879,2.284589135,0.8282032,0.831076284,0.887941763,1.3273437,1.337975099,1.342331361
57,21.789515,22.96205255,22.82805986,2.3028533,2.205481635,2.294071336,1.0043626,1.021088771,1.020140594,1.4217725,1.419933946,1.573392219
57.5,21.831186,22.17383543,24.09765712,2.2781587,2.18323138,2.084921387,0.97975856,0.901888942,0.998434899,1.4026191,1.257238792,1.419540941
58,21.828192,20.60866825,20.65625281,2.2544618,2.202758505,2.16788974,0.81904542,0.807038559,0.826619056,1.348434,1.479045418,1.412889334
58.5,21.792261,22.99736581,22.36225184,2.1999118,2.09408602,2.153852853,1.0299219,1.047827527,0.97527602,1.2795358,1.253492241,1.145613754
59,21.80304,21.49304019,23.48188585,2.1680784,2.188168427,2.107724965,0.95056611,0.979994264,0.909718805,1.1869493,1.166815169,1.206986618
59.5,21.814512,22.9748821,21.72082363,2.1878912,2.06296937,2.186068884,0.9611389,0.961443536,0.992720457,1.2861062,1.453150414,1.254839824
60,21.76552,22.00829233,20.61446081,2.2190263,2.378043334,2.203211363,0.87249601,0.87648856,0.875357186,1.2980874,1.335782371,1.227443287
60.5,21.738754,21.67703421,20.53754479,2.2630513,2.243769245,2.144537259,0.87884516,0.844592943,0.914694186,1.3111299,1.339338949,1.401887092
61,21.734741,20.80934399,23.11867924,2.2825472,2.358508686,2.178334845,0.88970017,0.937979172,0.858840849,1.3235196,1.347775175,1.238998591
61.5,21.789438,21.47757805,23.79041356,2.2863591,2.338255517,2.231003219,0.84084529,0.827867976,0.839266707,1.2346793,1.292434333,1.205298087
62,21.834932,19.83550063,22.01778461,2.3731711,2.333348415,2.248743503,0.81500536,0.733879238,0.78972492,1.3163432,1.217942542,1.256310605
62.5,21.7913,23.27731655,19.21431332,2.344224,2.449149706,2.374050273,0.87472808,0.843260602,0.907006136,1.3387392,1.238166186,1.40366648
63,21.78549,18.55630433,23.48373607,2.3440378,2.280339099,2.455348546,0.9148218,1.025534221,0.911516616,1.3869767,1.417135418,1.424631291
63.5,21.770012,21.16091723,21.19187994,2.3701544,2.425269995,2.464090502,0.74910784,0.690641533,0.738346833,1.3998437,1.379033388,1.237107404
64,21.764656,21.87291065,21.73032412,2.3510659,2.340944485,2.358261243,0.85566223,0.889495376,0.805387773,1.386874,1.410772975,1.419754837
64.5,21.830339,22.55982818,23.12596218,2.3053534,2.226006331,2.172092427,0.93155116,0.973369209,0.966761931,1.3104831,1.417217817,1.367317756
65,21.835068,20.77590396,20.79748243,2.2633591,2.162900398,2.213215095,0.85280949,0.909767968,0.806194914,1.2781076,1.26587969,1.241124592
65.5,21.798298,23.32834385,21.74379663,2.1979353,2.149302057,2.326098941,0.85430688,0.916459652,0.827015331,1.3378042,1.346599314,1.233811799
66,21.752558,22.03341487,18.33256262,2.1832631,2.354072656,2.110183181,0.856318,0.840828471,0.800081405,1.339956,1.27690289,1.352389243
66.5,21.758448,21.27044495,22.00802701,2.1570523,2.205837699,1.985896262,0.81970602,0.755532913,0.834554473,1.2572327,1.297305163,1.243931798
67,21.77725,21.19060212,21.50156142,2.13113,2.2534369,2.07565846,0.95763731,0.84299566,1.003623437,1.2714155,1.221412904,1.30921308
67.5,21.771147,19.9353297,21.97494214,2.1601229,2.07088504,2.284429952,0.80446714,0.814429094,0.805864003,1.3011584,1.289498289,1.310180908
68,21.75502,21.4794083,22.33729661,2.1488116,2.131708685,2.119758738,0.82125163,0.829603276,0.771893852,1.2381732,1.175736085,1.347283628
68.5,21.767694,22.53701833,22.79405841,2.1946702,2.267386863,2.052077525,0.86787647,0.884584738,0.825211205,1.2238199,1.257874735,1.158611847
69,21.741747,22.06397926,20.08539245,2.1901076,2.412959075,2.22975701,0.78520989,0.78179053,0.844184383,1.282333,1.262643853,1.307154949
69.5,21.748169,20.92877674,23.44362781,2.2302618,2.115151,2.183618041,0.77702653,0.72867715,0.787242484,1.2800385,1.223153761,1.220733753
70,21.755142,21.67825891,21.77851592,2.2423649,2.279845483,2.362788928,1.0228723,1.02548789,1.05936527,1.3662552,1.313959372,1.435956974
70.5,21.7829,22.76333152,21.33883444,2.2174261,2.299405748,2.318612433,1.1520988,1.142902269,1.235638033,1.3046045,1.262014633,1.341365686
71,21.804115,22.40201427,20.28861708,2.2729795,2.294342506,2.305066113,1.1705067,1.085754567,1.184802903,1.3602922,1.355668549,1.314581343
71.5,21.782125,22.06750984,20.65948433,2.2265172,2.126357904,2.13608168,0.95296067,0.962006334,1.007703458,1.2925704,1.198547376,1.301166022
72,21.773413,23.22807959,23.59248705,2.2240977,2.362875835,2.024264607,0.94955277,0.937563843,0.969611611,1.3043413,1.328044725,1.408699325
72.5,21.785551,19.16047711,23.78044254,2.2417631,2.112150224,2.181333552,0.94678938,0.932882042,1.022122525,1.328283,1.257078197,1.400936602
73,21.794125,22.57260731,23.08253024,2.1912682,2.410098819,2.214725089,0.86505872,0.814166679,0.908751324,1.2483214,1.196050226,1.30544085
73.5,21.763193,22.01939841,21.10769231,2.193141,2.369811244,1.896850976,0.73118442,0.686495367,0.772936853,1.3333098,1.349911915,1.404415249
74,21.796076,23.78093441,22.61617572,2.236397,2.05169754,2.192311089,0.87210488,0.816243545,0.854841275,1.3632498,1.334375719,1.256681344
74.5,21.775293,21.20849474,23.55396178,2.2801428,2.372785149,2.271822471,0.97229612,0.98404436,1.01392715,1.3367249,1.218093101,1.314356945
75,21.781811,22.3431396,19.2361342,2.3060184,2.239427635,2.399237362,0.87961411,0.935665198,0.933860123,1.3945774,1.35081643,1.525522342
75.5,21.848036,21.15259632,21.74554551,2.2849262,2.34674849,2.232546262,0.94803768,0.984201833,0.956160705,1.4123697,1.444013798,1.340206155
76,21.892281,20.04720249,20.95313357,2.2790053,2.340314467,2.350718192,1.0274259,0.974292156,1.01619565,1.4315971,1.44843813,1.394788384
76.5,21.851385,20.29585654,22.29260723,2.2595503,2.309974667,2.221696101,1.1851406,1.137343945,1.328602282,1.4385605,1.346303123,1.41836369
77,21.773888,22.55101999,23.47570583,2.2444236,2.271541233,2.324238929,0.9003787,0.872738118,0.944665806,1.2848023,1.378026196,1.308422991
77.5,21.734451,21.25558408,21.58502844,2.2670279,2.27066735,2.268238538,1.0255208,1.039309617,0.995014892,1.3650748,1.322780282,1.391031878
78,21.77392,22.2868442,22.83988306,2.2716048,2.211015154,1.995747136,1.0817076,1.059443985,1.013513081,1.3703191,1.463681862,1.288596928
78.5,21.788792,20.65513635,22.50072321,2.2224317,1.954319725,2.291954062,0.84419769,0.912195154,0.826775868,1.2376051,1.395358164,1.330742495
79,21.747826,21.30713973,21.33405918,2.1716125,1.961309415,2.230162775,0.88533896,0.871594782,0.920585506,1.2528821,1.234951919,1.242606816
79.5,21.766691,21.55999032,22.89657176,2.1843681,2.062765634,2.143652417,0.8038128,0.827105733,0.802897155,1.2979367,1.331975569,1.304871118
80,21.800209,20.17129126,22.61968009,2.2101445,2.287410791,2.368502349,0.97500342,1.075072164,0.937769688,1.2607361,1.27157593,1.173388511
80.5,21.790501,21.42297679,22.50838029,2.1724591,2.157034291,1.944118164,0.86602527,0.892666665,0.867994061,1.2287476,1.122419671,1.26403912
81,21.773712,21.95268179,19.85862916,2.1796622,2.137108224,2.087537022,0.90196282,0.985296293,0.887845475,1.2980437,1.286739509,1.290146072
81.5,21.830805,23.65137146,21.82240377,2.1810617,2.060695372,2.224207878,1.0034025,1.032865366,1.037950991,1.3731914,1.395121285,1.264359776
82,21.810038,20.86234033,23.16697167,2.1904559,2.209884818,2.158646723,0.9161222,0.971662971,0.896847695,1.3951474,1.372560542,1.472481486
82.5,21.79776,19.95371021,21.20786712,2.2022624,2.200328502,2.105429693,0.99011892,0.945443611,0.896533283,1.3307903,1.3080111,1.414476412
83,21.814886,21.72589461,19.8665076,2.2323921,2.042007873,2.08526415,0.95164633,0.874769564,0.850318098,1.3926739,1.426241995,1.364787687
83.5,21.816393,21.24620117,19.77728769,2.2146957,1.930689287,2.344557507,0.8511309,0.884531151,0.821824789,1.251709,1.268755384,1.178599953
84,21.805893,21.0275591,22.2164863,2.259763,2.110976791,2.137983735,0.78804469,0.820977389,0.783064969,1.2937689,1.316367849,1.352620221
84.5,21.706757,24.29268544,20.83379524,2.2658088,2.313412151,2.223738396,0.74594688,0.760407177,0.718319569,1.3710872,1.359643563,1.349667512
85,21.694901,22.58089458,25.01231616,2.2852051,2.356627494,2.041600378,0.91451335,0.971749312,0.956271651,1.4402043,1.402663725,1.444412094
85.5,21.739008,21.26574167,20.98204413,2.2827358,2.228052502,2.398856943,0.99000442,1.02914928,1.051923333,1.3809105,1.48436655,1.318834208
86,21.771416,21.27193564,21.67622117,2.3036697,2.254742782,2.233484571,0.78131163,0.793581239,0.798967111,1.3493928,1.33281136,1.36152117
86.5,21.782299,22.81919487,21.76415248,2.3045709,2.045101879,2.354331398,0.97465181,0.934364331,0.999612395,1.289417,1.238973954,1.385340091
87,21.803762,19.27413749,20.86536327,2.3462386,2.233192314,2.338754942,0.90010011,0.858913504,1.010360952,1.3347548,1.32133353,1.292350207
87.5,21.73521,22.94473737,23.07568704,2.3323989,2.30381994,2.218496262,0.83486128,0.791831957,0.865283702,1.3124614,1.308723868,1.301198949
88,21.757036,22.89838141,22.20555658,2.3208659,2.207612423,2.287316191,1.014758,0.968557343,1.080686022,1.3167617,1.353535494,1.314447394
88.5,21.780716,21.53945524,21.60117407,2.2634721,2.336750277,2.317701719,0.80898178,0.80842978,0.78041326,1.3348509,1.381681718,1.178863471
89,21.792425,20.66458189,20.15810036,2.2225273,2.221184377,2.142951233,1.1129003,1.101176451,1.208689539,1.2543776,1.178118283,1.397541391
89.5,21.807405,20.10263516,20.34329934,2.1501365,2.223859202,2.167887737,0.74539864,0.732318669,0.720142001,1.297439,1.231121685,1.314018344
90,21.79274,21.68793987,20.39652088,2.1496303,2.270871476,2.188614645,1.0531864,0.933084296,1.011259633,1.2944001,1.197537637,1.217420534
90.5,21.767374,20.76293328,21.0552006,2.1758399,2.334804464,1.956756351,1.0650158,1.08006378,1.10109296,1.322696,1.373442372,1.266124246
91,21.76005,20.51955207,23.39082961,2.1762345,2.05441587,2.267711961,0.83279938,0.851446329,0.884427018,1.2584842,1.262151066,1.233248355
91.5,21.747091,22.34376465,23.19947865,2.2056875,2.184990322,2.352455728,1.0469265,1.061486302,1.026738805,1.2418019,1.251619529,1.24666919
92,21.764843,22.61124226,23.36458205,2.2160237,2.305441174,2.23552019,0.88378817,0.812206985,0.852852787,1.1663796,1.03532119,1.230799073
92.5,21.771435,22.86190674,23.11322762,2.2084436,2.339594794,2.111013283,0.88379723,0.83869604,0.904140047,1.2214371,1.107853502,1.22377745
