t,RMSD_ligand_rep1,RMSD_ligand_rep2,RMSD_ligand_rep3,RMSD_pocket_rep1,RMSD_pocket_rep2,RMSD_pocket_rep3,RMSD_BB_rep1,RMSD_BB_rep2,RMSD_BB_rep3,Rg_rep1,Rg_rep2,Rg_rep3
10.5,1.5342689,1.654444314,1.478726994,1.7628702,1.8478838,1.709653196,1.7666405,1.813899319,1.660722807,20.588089,20.43955175,20.39641313
11,1.595885,1.766110168,1.478693282,1.8433088,1.938810594,1.805859435,1.7901162,1.956417321,1.736336925,20.630247,20.74363272,20.97730549
11.5,1.5755087,1.74824894,1.478901393,1.760084,1.852229227,1.661208316,1.7915649,1.962277915,1.71015348,20.544542,19.81116608,21.40780503
12,1.5863893,1.721940878,1.492949981,1.9562453,1.987364611,1.885353228,1.8118715,1.956784543,1.710309269,20.537832,21.08174529,20.05053799
12.5,1.5996556,1.724904084,1.452138792,1.8921577,2.086280056,1.846020337,1.859655,1.943070824,1.746330979,20.581497,19.74733784,20.74085709
13,1.9598573,2.093323679,1.965317659,2.1111853,2.2339874,1.927221681,1.8600906,1.947010888,1.756721785,20.531898,21.94736114,20.41819677
13.5,2.0060635,2.207542298,2.075013469,1.9733614,2.175854601,1.904063439,1.901458,2.080514089,1.81477043,20.578995,19.55824237,20.17628169
14,1.7085617,1.839198983,1.693875183,1.8577104,1.805648313,1.733117347,1.8840244,1.947489583,1.703085583,20.602354,21.31156718,21.10725943
14.5,1.5169548,1.628581406,1.396283493,1.8668342,1.931176447,1.813886581,1.8524008,1.970524736,1.90132516,20.553343,21.05880258,20.65417416
15,1.7258679,1.857419405,1.641827269,2.0158546,2.100384195,2.04839192,1.8023188,1.946060088,1.629528748,20.564587,20.74132536,20.68938332
15.5,1.7700775,1.904928109,1.717522493,1.9410692,2.059383391,1.968028648,1.8049327,1.909054526,1.594509893,20.490046,20.66656921,20.93040749
16,1.8252548,2.084837505,1.72983204,1.8432249,1.926347895,1.736902468,1.7944914,1.865433406,1.765693664,20.421682,21.30774356,20.12554179
16.5,1.6201699,1.735869252,1.535248523,2.0803366,2.287675071,1.958355181,1.8303243,1.919660951,1.773893209,20.408615,20.47382387,20.46616891
17,1.859603,2.050530721,1.774766899,1.8745904,2.042812914,1.724687363,1.8630776,2.018802176,1.812263714,20.409723,20.30503876,20.65479761
17.5,1.6180009,1.750214434,1.579716132,2.0383635,2.159611767,1.928486101,1.8794972,1.987093324,1.67863473,20.497961,20.12300233,21.28151379
18,1.4738189,1.641979064,1.362959204,1.9741334,2.133009142,1.96955525,1.8681768,1.977508719,1.749708376,20.460226,21.44021963,19.59106223
18.5,1.8813828,2.054540861,1.687433837,1.854099,1.945432218,1.804815888,1.841843,1.947380403,1.688107813,20.467522,20.14360017,20.04880568
19,1.5340569,1.636594807,1.461853336,1.9224186,2.049901218,1.832336792,1.8384035,1.891344949,1.676174103,20.481657,20.2815046,19.86503051
19.5,1.6645427,1.810088381,1.572755972,2.025012,2.148407217,1.916494378,1.7894063,1.914162485,1.798464147,20.463575,20.51686323,20.48821754
20,1.5688769,1.627977381,1.477256595,1.9767753,2.06452368,1.886065051,1.8007623,1.858865436,1.77814947,20.492723,20.44426856,20.17129851
20.5,1.442654,1.63555822,1.297593722,1.9719526,2.119564861,1.869921485,1.8226354,1.934682852,1.768324298,20.451048,20.78134754,20.11945501
21,1.8748085,1.94109409,1.775635336,1.9735916,2.085129264,1.934234072,1.8754066,2.010542949,1.900895294,20.419285,20.00672657,20.0651318
21.5,1.8146985,1.986746412,1.782545056,1.9519689,2.02966807,1.789402622,1.8245229,1.979286324,1.792959215,20.440065,21.13974956,20.60853903
22,1.7851484,1.906508384,1.639025098,1.9995998,2.187357592,2.013579244,1.7381425,1.828230901,1.616568699,20.431122,21.71495722,21.06366761
22.5,1.9737185,2.094612811,1.968499873,2.0091777,2.113020633,2.053302221,1.7747614,1.886112211,1.752542526,20.474464,20.0332996,20.15102726
23,1.904717,1.956126208,1.823057914,2.0130589,2.064769405,2.034871389,1.7975503,1.955769665,1.711065517,20.451296,20.26964626,21.08507172
23.5,1.8087341,1.941006339,1.764943769,2.0231674,2.215229725,1.989249244,1.7865694,1.913021586,1.630867668,20.479572,20.93106124,20.86992745
24,1.8522094,2.049410104,1.795651838,2.0140676,2.059239566,1.953899336,1.7774454,1.88409622,1.623350622,20.509121,20.62154549,20.92115404
24.5,1.772014,1.913568584,1.653319014,2.1271517,2.157400366,1.985676705,1.7544365,1.878846664,1.705799574,20.435289,19.43855398,20.37067967
25,1.8129857,1.912019041,1.687715317,1.9571896,2.009668754,1.843327886,1.7351321,1.813679012,1.602057642,20.48584,21.02275465,20.52934297
25.5,1.7771611,2.015486741,1.677036615,2.0503855,2.256326581,1.951954332,1.7530533,1.89545577,1.653413707,20.442036,20.73168314,19.63975272
26,1.7369152,1.765163583,1.58045464,1.991735,2.159261966,1.927778806,1.7177111,1.953184221,1.599338245,20.42844,20.72598677,20.38965876
26.5,1.7945067,1.957106254,1.754972377,1.8994577,2.039271995,1.894812422,1.7536746,1.892007923,1.618903037,20.469069,20.57191735,20.58493102
27,1.8818842,2.010779855,1.736118553,2.0623424,2.184724541,2.042318454,1.8140261,1.839372257,1.729417497,20.409986,19.27737702,20.67885761
27.5,1.7731832,1.995579006,1.686475699,1.9341822,2.007602978,1.801194271,1.8521141,1.991895037,1.802332239,20.39743,21.36872166,20.03556936
28,1.922214,2.142583199,1.682179703,1.8792484,1.948049529,1.86654974,1.8827335,2.001076259,1.89098619,20.405451,19.71161508,19.81643295
28.5,1.8713669,2.015496061,1.857745664,2.0697167,2.234665463,1.934831918,1.8722396,1.974038424,1.786307112,20.427908,18.70048271,19.72537911
29,1.8530592,1.877907469,1.687388871,2.0193298,2.070769831,1.954684921,1.8504275,2.024439511,1.718482784,20.437056,20.5791175,20.48551007
29.5,1.908968,2.067058576,1.768323622,2.2302322,2.242184828,2.054678862,1.8502519,1.958379963,1.68519373,20.474876,19.09735987,20.40260366
30,1.9401438,2.110039908,1.79455241,1.9921786,2.162656323,1.901017942,1.8880857,1.941775452,1.797578043,20.455784,21.14124916,20.0027796
30.5,1.7517129,1.863881399,1.656659094,2.0556874,2.164776093,1.998552684,1.9344814,2.026592421,1.88746625,20.432766,20.51030519,21.41713961
31,1.8333781,2.067362606,1.753181802,1.9644951,2.116429434,1.816447967,1.8575619,1.919794614,1.726274189,20.434189,18.75919618,19.97969647
31.5,1.830071,2.029197611,1.716593625,1.9760841,2.121370584,1.915595163,1.8354787,1.944592487,1.732081354,20.449976,20.12752637,20.26266094
32,1.8187931,2.056008294,1.7538339,1.9846435,1.978234148,1.845660929,1.8447969,1.901386338,1.874891215,20.425907,19.54736403,21.08674476
32.5,1.8756027,2.046495438,1.851153843,1.9360489,2.008951426,1.832580762,1.9105009,2.131503834,1.87424357,20.523479,20.5544425,20.69650986
33,1.8541023,1.990819122,1.876856662,1.9966962,2.131001461,1.816032287,1.97287,2.029534126,1.93309391,20.520084,19.87282674,21.49853306
33.5,1.8326327,2.012046783,1.744723279,1.9427167,2.014215974,1.926741031,1.9088523,2.064742038,1.78666758,20.453621,20.67904487,20.13974944
34,1.8031211,1.959418736,1.705744127,1.8826972,1.986563339,1.855155609,1.8305095,1.925769744,1.780039131,20.438862,20.70874458,20.50948207
34.5,2.0028801,2.129012219,1.865665921,2.0731647,2.051405372,1.947054668,1.8571538,1.961488402,1.798307417,20.483507,20.22046766,21.00857618
35,2.0277123,2.093952336,1.83226933,1.9864302,2.132953485,1.985118569,1.880844,1.959388502,1.755918565,20.489717,19.43693617,21.36044269
35.5,1.7812425,1.927247237,1.689097937,2.0055559,2.064957488,1.959959274,1.9278876,1.929475846,1.98191937,20.475622,20.68738848,20.52770604
36,1.8426343,1.934560414,1.786524926,1.9144553,2.055713964,1.906709411,1.9139394,1.962407188,1.744976133,20.515854,21.13720223,21.79285548
36.5,1.7827197,1.955472025,1.647882481,1.8370664,1.943052108,1.680950699,1.9639982,2.01946442,1.814331625,20.54184,21.11943426,19.8302859
37,1.8893652,2.067907209,1.825309901,1.8941358,1.973542798,1.750093679,1.9544293,2.088473737,1.961187551,20.524567,19.91307813,20.38623705
37.5,1.9435563,2.01893739,1.717556256,1.9205199,2.015013781,1.8645682,1.9128143,2.016895296,1.888400052,20.50408,20.78729493,20.5479756
38,2.0261617,2.180115561,1.89880619,2.0560398,2.232568488,2.044522367,1.911835,1.937818099,1.865953637,20.543381,20.91364129,21.17033654
38.5,1.792105,1.95423628,1.669226974,1.9312379,2.10981288,1.893740923,1.8827753,1.989830959,1.84380253,20.491926,20.70637621,20.83065719
39,1.9965025,2.251994734,1.899243588,1.9850447,2.132464894,1.870958782,1.8893102,2.023802716,1.79655674,20.489536,20.26972661,21.28860395
39.5,1.8589616,2.016710682,1.720380956,2.0312388,2.030545451,2.189334642,1.91149,1.96310682,1.829771042,20.453527,20.87052587,20.52826106
40,1.9273305,1.974459123,1.689898195,1.8549331,1.960102352,1.825152621,1.9404647,2.041502904,1.819522825,20.500792,20.760097,20.5210489
40.5,1.8659978,1.921039169,1.832512732,1.8480421,1.835448602,1.693386385,1.9312677,2.095553543,1.875745367,20.524504,20.61267806,21.21970091
41,1.9336292,2.107422241,1.840933605,1.7320509,1.916053542,1.651874884,1.8874334,1.997276632,1.734300361,20.503824,19.31564711,21.55002768
41.5,1.9950787,2.126399475,1.829861607,1.6962444,1.837889287,1.617556055,1.9060816,1.981755568,1.790910766,20.497103,20.33086311,20.3316818
42,1.795352,1.912951778,1.63549331,1.7174067,1.893034879,1.701551473,1.9444261,2.11695138,1.658399156,20.544096,19.44867336,20.46090209
42.5,1.9494963,2.210868305,1.918225083,1.7712072,1.830075386,1.67767049,1.9747264,2.194847371,1.897148381,20.530527,19.74125408,20.63595218
43,2.1001432,2.31954979,2.069712394,1.811553,1.880769462,1.777961781,1.9395055,2.030444848,1.885153649,20.492886,21.05597255,20.34854445
43.5,1.8726171,1.981064306,1.754954685,1.679857,1.795747406,1.618923909,1.8668852,1.984105212,1.797604271,20.482365,21.2343634,21.239474
44,1.6978016,1.917410983,1.564318676,1.8162365,2.018618535,1.811278177,1.8371942,1.953942255,1.726071821,20.428764,20.69925436,21.34396282
44.5,1.7988303,1.918146183,1.612199536,1.8769455,1.933763639,1.842701909,1.8581861,1.884536711,1.797050304,20.483597,20.36454401,20.65096927
45,1.9404011,2.099505601,1.782795155,1.8380387,1.939153491,1.796118869,1.857653,1.989604007,1.814647098,20.474382,19.66136377,20.83850101
45.5,2.0240173,2.279221922,1.953606085,1.7741081,1.890453444,1.683996017,1.8841414,2.045933909,1.779802617,20.497425,20.72972556,19.68401722
46,1.8190989,1.921264885,1.746119821,1.9400767,2.021110591,1.821569321,1.8935347,1.806172394,1.690297755,20.489243,20.64069278,20.43220953
46.5,1.9337025,2.079681981,1.827725503,1.9070315,2.076429207,1.719391703,1.917262,1.916262924,1.767085287,20.431171,20.40300334,21.03036444
47,1.9904193,2.122182627,1.921622102,1.8933491,1.921599457,1.822160346,1.9515352,1.965580246,1.876144798,20.498449,19.79556737,20.13493798
47.5,1.7341735,1.93536046,1.602327896,1.9029709,2.059220534,1.848388588,1.9235193,1.940426382,1.76556898,20.503725,20.42116637,20.95102588
48,2.0353525,2.214257851,1.980037362,1.9266027,2.045425217,1.841739342,1.8953537,1.909012152,1.76760913,20.479683,20.13001999,20.31998932
48.5,1.7880975,1.861080443,1.716259141,1.6880348,1.839506918,1.613932394,1.8656849,2.110945585,1.817313864,20.472366,20.46173669,20.38412457
49,1.8947028,1.922739884,1.762304381,1.8460099,1.991342158,1.867953577,1.8719623,2.059392451,1.838822041,20.477131,21.40549996,19.85480222
49.5,1.9008074,2.060195887,1.843640625,1.9730452,2.104405678,1.859938471,1.8749475,1.980282856,1.680315056,20.448574,20.91060418,20.95693214
50,1.9158964,2.120005968,1.853088624,1.8551161,1.913176884,1.855970812,1.8727915,1.93983929,1.720201483,20.420748,20.23143361,19.46999081
50.5,1.8307383,1.968089754,1.597590126,1.8694292,1.980182005,1.776593905,1.8966862,2.060338559,1.909186065,20.478025,19.69534578,20.58497614
51,2.064409,2.271294164,1.921938635,1.8266571,1.915860947,1.719790364,1.9138796,1.849317318,1.695801821,20.47987,20.25490447,20.93407485
51.5,1.9627519,2.09668365,1.867486125,1.8440304,1.974357884,1.740326341,1.898311,2.031886013,1.809757775,20.502024,20.51810879,20.21055232
52,1.904281,2.007753087,1.753154852,1.8613702,2.014573772,1.697895291,1.9332877,1.994015066,1.820831292,20.508398,19.79720346,21.25832408
52.5,1.9779329,2.089868027,1.885280146,1.769408,1.840817675,1.698669365,1.9437921,2.037137768,1.845606707,20.51053,20.25489713,20.55236613
53,2.0439255,2.171583083,1.946738583,1.8785391,2.020334183,1.842139441,1.9571075,2.103872628,1.913328048,20.514616,20.86255394,21.25326208
53.5,2.0261166,2.157307476,2.037561385,1.7506131,1.815569813,1.695666811,1.9274071,2.014005417,1.863746441,20.521851,20.4515375,20.53463578
54,1.9657682,2.165390897,1.813063126,1.887367,1.971500785,1.88289354,1.8964812,1.927939155,1.756387549,20.495808,20.00098942,21.31992155
54.5,1.9984601,2.254229726,2.007523794,1.8887969,1.935948696,1.94362251,1.8698686,1.898974581,1.858868961,20.549238,20.38943042,21.48665879
55,1.8581451,2.106314533,1.861604772,1.7824187,1.887575634,1.825129436,1.8803459,1.996854318,1.855701585,20.546869,19.59506617,20.66990362
55.5,1.7641531,1.83482832,1.685210415,1.9396713,2.039533347,1.850156531,1.9064434,1.980271083,1.853843183,20.548119,20.80832295,21.5105996
56,1.8961982,1.983482835,1.77932213,1.907275,2.067528621,1.835669612,1.9708879,2.15115076,1.835819423,20.550995,19.61728171,20.78716483
56.5,1.9394065,2.103669139,1.788285342,1.9304783,2.014307247,1.876147401,1.9987996,2.185304034,1.921107912,20.515055,20.67404207,20.33121893
57,1.7471111,1.947074211,1.658534689,1.8613131,1.957054213,1.763837755,1.977707,2.096348225,1.867318205,20.492558,21.82377026,19.75454585
57.5,1.9711908,2.243977909,1.846318115,1.9506019,1.951329869,1.867404875,1.9896007,2.112356382,1.922064858,20.516665,20.68517848,20.11032801
58,1.8743048,1.963926792,1.765512367,1.812633,1.870869585,1.845769913,1.9826169,2.093616743,1.802120314,20.527248,21.1359712,20.27071076
58.5,1.8830574,2.062608959,1.907093536,1.8224767,1.899582685,1.727314526,1.961454,1.99901118,1.842327697,20.511133,19.24305982,20.53385751
59,1.861483,2.097484118,1.755447212,1.9405515,2.008139679,1.991807422,1.9049486,1.955833436,1.863489437,20.509731,20.73747028,20.17548798
59.5,1.7718554,1.917289571,1.731418849,1.9234807,2.022519448,1.861474702,1.8930129,2.030333809,1.724675666,20.511793,20.23259713,20.99849349
60,1.8271779,1.919200239,1.73029715,1.9443463,2.036031919,1.864543061,1.8660698,1.969741441,1.789222803,20.507574,19.85793987,20.39284336
60.5,2.1151183,2.194993777,2.193337209,1.8971666,1.937554815,1.762593953,1.8681152,2.01383664,1.877679543,20.504498,21.37609813,21.32600818
61,1.8001374,2.018910586,1.730406932,1.8092343,1.859672679,1.865231261,1.9054261,1.965772187,1.78984341,20.530193,19.76354838,19.46898734
61.5,1.9186004,2.174314164,1.765731123,1.8871498,1.959735513,1.803759215,1.9592899,2.057082905,1.842755781,20.498459,20.22578239,21.17656187
62,1.9582758,2.118115332,1.783295662,1.9116902,1.951551169,1.778051921,1.9732531,2.036528404,1.834642828,20.521484,19.9799475,19.00759812
62.5,1.894591,1.910161138,1.84841684,1.7011893,1.814176148,1.701352509,1.9488696,2.092018362,1.815192062,20.506819,21.12355299,20.10125478
63,1.7413883,1.97283625,1.711545162,1.8686906,2.021933431,1.819806037,1.949475,2.045249014,1.915236392,20.526949,20.88131678,20.18719337
63.5,1.9194945,2.038909639,1.790534863,1.7772714,1.919534456,1.725052345,1.9211923,2.004633432,1.85051563,20.571388,19.15649431,19.8419255
64,1.9178545,2.06603935,1.826802227,1.7770579,1.880321069,1.718512937,1.9155333,1.948004975,1.810710022,20.526043,20.83802921,20.19428608
64.5,1.9174737,2.135754546,1.90629489,1.8592993,1.894813213,1.759513039,1.9043922,2.04758153,1.743158038,20.51041,21.06412254,20.14068286
65,1.7918125,1.890725172,1.684006856,1.8865495,1.961471955,1.768868739,1.9244624,1.961347718,1.898159461,20.529325,20.1929061,20.47570963
65.5,2.0117917,2.158773701,1.957783582,1.8563312,2.021277834,1.876797173,1.9240828,1.987202937,1.767733276,20.512611,19.57589895,19.52765698
66,2.046355,2.003314954,2.027185729,1.8113589,1.874980153,1.704652919,1.913175,1.93778914,1.901575647,20.55365,20.68807847,20.25979974
66.5,2.0625999,2.226795259,2.018775085,1.805815,1.819843193,1.721785819,1.9221263,2.043017157,1.921583451,20.517006,20.40677012,21.06428993
67,1.9251611,2.060538181,1.859946566,1.7391472,1.811986068,1.59918517,1.9551654,2.111498095,1.859748065,20.510118,20.89596197,20.23461553
67.5,1.9463768,2.107308575,1.865108771,1.8563844,2.020481217,1.837322279,1.9734153,2.075471263,1.894403816,20.557611,20.66314149,21.22819846
68,1.7713149,1.949760617,1.733590546,1.7950121,1.880450496,1.713205758,1.9192604,1.950051092,1.772900475,20.497429,21.60119494,20.88806771
68.5,2.0249333,2.232219647,1.823238481,1.932503,1.957167552,1.755018938,1.895642,1.939727544,1.730951024,20.496565,19.86130138,20.36559698
69,2.2553871,2.302293617,2.175573305,1.8490239,1.969108586,1.727931417,1.9136261,2.09986174,1.751051861,20.511524,20.7697473,19.61755589
69.5,2.1614823,2.4125861,1.976808309,1.8912023,1.967470705,1.791401204,1.9165149,2.031633324,1.807894966,20.493431,19.9437492,21.11250834
70,2.2135243,2.364951238,2.047298377,1.8682216,2.028420216,1.687209848,1.8905535,2.031023016,1.831385193,20.500374,21.14789034,20.72205981
70.5,1.9829454,2.10869084,1.922151541,1.9919667,2.146505556,1.875658455,1.9388305,2.123181814,1.872437343,20.489271,20.85567938,20.24234251
71,1.8408773,1.914107047,1.66972133,1.7946051,1.909805272,1.668316006,1.9084728,2.022458494,1.773132926,20.54657,20.15230549,20.47383729
71.5,1.8474615,1.940331112,1.826229134,1.9273155,1.98034588,1.728529354,1.9114857,2.077368832,1.869577802,20.561743,20.66378463,21.90486107
72,2.1719971,2.430873652,2.055081047,1.8504776,1.850719394,1.760324437,1.8852092,2.009103678,1.796272777,20.507568,21.5120324,21.57802415
72.5,1.8978773,2.152149881,1.799642904,1.8456159,1.915765359,1.797355703,1.8822424,2.072100974,1.898491186,20.488548,21.18094995,20.14410763
73,1.7834332,1.996692028,1.724169447,1.7970163,1.908558222,1.702148188,1.909145,2.067001546,1.774068935,20.52898,21.11258679,20.58295003
73.5,1.909372,2.024866181,1.806749361,1.7790312,1.734824549,1.670414958,1.9893907,2.157550169,1.89930794,20.534393,21.21145286,21.23996189
74,2.0275278,2.223300488,1.976837985,1.8344383,1.912741021,1.750224715,1.9553031,2.032079577,1.942568548,20.531622,19.58861877,21.49601609
74.5,1.8664991,2.10797572,1.820342238,1.8772962,1.973186004,1.811247343,1.9396945,2.089525911,1.874774225,20.530825,20.34469467,19.73841563
75,1.9872019,1.997853328,1.819918087,1.9132936,2.059699624,1.832260413,1.9484676,2.120565078,1.892388799,20.538782,21.71588506,20.17740516
75.5,1.9914002,2.135795131,1.905926229,1.8567469,1.931208319,1.753822518,1.9213718,2.031249478,1.790482325,20.519547,19.91049219,19.48979994
76,1.9334307,2.033665859,1.81582718,1.7857671,1.919482473,1.606449289,1.9294493,2.016795425,1.960401594,20.5387,20.24184975,20.6499741
76.5,1.8381544,2.010423961,1.673127894,1.9727398,2.052910239,1.926930693,1.9711845,2.214352042,2.070155723,20.502413,20.34970563,20.69971716
77,2.0372479,2.282785035,1.96164488,1.90058,2.041132617,1.833272671,1.9775032,2.135863905,1.897498343,20.511507,20.75776561,20.91599142
77.5,1.8271962,1.969659106,1.667335655,1.7370803,1.837636881,1.63418597,1.8988266,1.964936251,1.847087846,20.490904,20.74468635,20.73597957
78,1.8618406,2.066529511,1.740128733,1.9231138,1.882991096,1.814608118,1.8994782,1.927628468,1.83547758,20.488604,19.77547262,20.21593541
78.5,1.7783645,1.963228476,1.634725568,1.7295266,1.861988549,1.63295341,1.8850579,1.961716582,1.789932908,20.466496,21.41063382,20.03696054
79,1.9082352,2.036451935,1.809615338,1.8944761,2.025123031,1.70444272,1.9225298,2.068452913,1.93878413,20.424934,20.34442717,19.75365359
79.5,1.790545,1.996311924,1.659034696,1.9620425,2.040099523,1.908359729,2.0018551,2.100486879,1.989392848,20.456156,20.54173001,20.62056698
80,2.0025542,2.197719875,1.931087028,1.9585898,2.142790105,1.774368139,2.009973,2.063918518,1.915796672,20.507511,19.67501777,20.082926
80.5,2.017581,2.207462037,1.874856718,1.9432409,1.920691818,1.816977034,1.9287317,2.031362526,1.770494971,20.481508,20.85446423,20.44180359
81,1.8268999,1.88049012,1.851645784,1.9613189,2.011580866,1.828021021,1.926936,2.008839985,1.852716998,20.489706,20.43490725,19.28592414
81.5,1.8939435,2.043506188,1.778861662,1.8738248,1.996065816,1.774326385,1.9763649,2.117194233,1.891438594,20.46924,19.51587213,20.47244352
82,1.8641,2.083686125,1.72897733,1.810248,1.894475256,1.840603196,1.9958237,2.070629344,1.995235872,20.542847,21.24607042,21.59544919
82.5,1.6721776,1.79502603,1.608849328,1.7910429,1.843791982,1.745025409,1.9996202,1.986218228,1.90656411,20.566748,21.36274607,21.25375551
83,1.7073125,1.765820182,1.625409056,1.8787433,1.904451069,1.770682446,2.0535085,2.022317922,2.029705367,20.535746,20.30902743,20.81262032
83.5,1.8041,1.852926083,1.706022561,1.9586744,2.127584182,1.879868122,1.9999083,2.058591834,2.005328087,20.466242,19.76901422,20.13381513
84,1.6393905,1.807911808,1.510424424,1.8625163,1.902293383,1.759474177,1.9474125,2.040028981,1.803291212,20.465513,21.04407758,20.22262106
84.5,1.8793516,1.984003451,1.719002434,2.0342615,2.11159881,1.897738225,1.9599376,2.016383985,2.006751682,20.474627,20.30270917,20.45950072
85,1.8453174,2.164620332,1.785032469,1.8965286,1.875225705,1.867764139,1.958267,2.111917766,1.921621516,20.501715,20.55765449,21.55782965
85.5,1.9271843,2.036920948,1.782841472,1.8625994,2.019448862,1.835292087,1.9587556,2.132260737,1.958967344,20.531586,19.99781019,20.90039626
86,1.9128184,2.057800157,1.708525027,1.9940999,2.057647758,1.984386339,1.94594,2.072323715,1.895655139,20.526512,20.65720762,21.62725458
86.5,1.8713824,2.020446987,1.818944667,1.8340091,1.957769152,1.695307833,1.92638,2.055980462,1.923789355,20.480656,21.41482162,19.99051137
87,2.0109904,2.109060531,1.932045241,1.9187424,2.015070341,1.860250444,1.8999833,2.139630272,1.806039976,20.451256,20.08141937,19.86881537
87.5,1.9005109,2.1208371,1.720041936,1.9071623,1.951280568,1.95507507,1.9460381,2.088586384,1.866730959,20.467497,20.38211599,20.55715593
88,1.8206022,1.993121192,1.663460665,1.8769528,1.960673216,1.781640151,1.9748707,2.151854169,1.839077693,20.470856,20.46926858,20.17323122
88.5,1.9128196,2.053358993,1.81439674,1.8556638,1.982339262,1.836500922,1.9521726,2.010808988,1.88695982,20.493534,19.07663929,20.36762285
89,1.8919696,1.956836554,1.803540186,1.9542587,2.012276164,1.850885439,1.9376624,2.137729158,1.874815171,20.473307,21.89529452,19.62658648
89.5,2.0098116,2.078850756,1.954750738,1.8475801,1.956732123,1.765578636,1.9475925,2.007997869,1.7261289,20.506451,20.68367619,20.61173063
90,1.8430378,1.922189859,1.710563858,1.8039393,1.923568366,1.71350885,1.9523255,2.005692902,1.926822523,20.535448,19.82268699,20.29735748
90.5,1.767174,1.882483523,1.634844256,1.8680081,1.855155171,1.769651805,1.9790206,2.119243914,1.934343316,20.528873,20.02206063,20.72539307
91,1.9960008,2.235753464,1.871178489,1.8840744,2.031592352,1.790093825,1.9513873,2.123970579,1.85185682,20.532368,20.30533193,20.24816989
91.5,2.0311127,2.262501875,1.963042395,1.8107272,1.98301955,1.665804814,1.9730281,2.050200772,1.999866585,20.480898,20.5490634,21.17774667
92,1.7707984,1.998891737,1.60189597,1.7717358,1.881088398,1.669713763,1.9815361,2.039920079,1.815608161,20.486799,21.185694,20.78273377
92.5,2.0168519,2.24143211,1.955337033,1.8588655,1.909660751,1.798985409,1.9837252,2.111121457,1.988178648,20.490402,20.53395854,20.83754669
