t,RMSD (Ligand) Rep1,RMSD (Ligand) Rep2,RMSD (Ligand) Rep3,RMSD Pocket Rep1,RMSD Pocket Rep2,RMSD Pocket Rep3,RMSD BB Rep1,RMSD BB Rep2,RMSD BB Rep3,Rgyr Rep1,Rgyr Rep2,Rgyr Rep3
69.5,2.3512297,2.64806574,2.134429938,1.5860093,1.752036837,1.503006982,2.5131505,2.590415843,2.391357105,20.897987,20.91658961,20.87672066
70,2.3911669,2.484565274,2.369738372,1.6817039,1.793851574,1.598935672,2.5131197,2.447841,2.535475231,20.927725,20.92084778,20.88227514
70.5,2.3779519,2.508406461,2.360237272,1.682701,1.848788216,1.586269964,2.5465026,2.682475061,2.404254839,20.912312,20.90260932,20.7881088
71,2.2934899,2.563503583,2.004476012,1.7540059,1.809487211,1.648856697,2.5934515,2.880319586,2.535984477,20.912621,21.02323463,20.74058091
71.5,2.5448794,2.670903313,2.36633377,1.692333,1.750775885,1.650679355,2.6211123,2.616070958,2.43690995,20.933361,20.99934121,20.93051888
72,2.3489096,2.57188402,2.310006875,1.7091341,1.859890243,1.559669597,2.60233,2.846760594,2.449838263,20.915895,21.04960754,20.87657483
72.5,2.626092,2.821465183,2.587570113,1.6708364,1.800875744,1.545293525,2.6084785,2.749753281,2.536946877,20.986502,21.01814492,20.97331508
73,2.5925732,2.73326493,2.596405684,1.6934108,1.752384245,1.614610075,2.6373224,2.596941709,2.652241115,20.976242,20.98368301,20.96926835
73.5,2.4431121,2.752094541,2.386225538,1.7518128,1.918693425,1.667865178,2.6710427,2.85728641,2.52279185,20.954163,20.95926113,20.89723824
74,2.6101968,2.808750962,2.497627107,1.7572988,1.842507761,1.721192332,2.6843941,2.715830931,2.691829363,20.92938,20.95013188,20.85390027
74.5,2.5462854,2.706610891,2.420824153,1.7124585,1.871469096,1.510437218,2.6866179,2.884525814,2.613560977,20.95682,21.01464059,20.89770519
75,2.5964193,2.783484317,2.556036541,1.7266079,1.884694062,1.69629102,2.7465184,2.947026449,2.71919086,20.949631,21.02395371,20.89472268
75.5,2.5213773,2.740188053,2.40652248,1.7748384,1.892837573,1.68954999,2.7409074,2.919051565,2.587623089,20.942162,20.98735999,20.88364544
76,2.5962458,2.671158907,2.319659758,1.6591327,1.883516019,1.527887333,2.7197249,2.895283166,2.679165462,20.950283,21.03516327,20.95954288
76.5,2.7094014,2.837674686,2.572976762,1.689329,1.859595989,1.640742452,2.6701407,2.731497374,2.707760433,20.93292,20.97858999,20.87475615
77,2.6726298,2.767882364,2.381602301,1.7263499,1.898693132,1.613871498,2.6215584,2.730942982,2.546580736,20.906616,20.9796394,20.91428173
77.5,2.5315945,2.568731851,2.445262255,1.6961763,1.865723601,1.570829172,2.5644348,2.691056147,2.465268652,20.946581,20.95666364,20.87251538
78,2.4633384,2.736546692,2.339223788,1.6575177,1.898316244,1.567561673,2.5006778,2.48995502,2.52595974,20.924681,21.06931206,20.8894217
78.5,2.5659256,2.877970347,2.406610953,1.7444357,1.87464718,1.646747013,2.4778931,2.663182715,2.2921327,20.944342,21.00135513,20.95048276
79,2.51566,2.80669936,2.387396371,1.6122181,1.735312417,1.537459944,2.4773588,2.665506318,2.371792082,20.972679,20.96195124,20.92608961
79.5,2.4748619,2.540813769,2.198156504,1.6592795,1.788864415,1.534655204,2.5150628,2.459348085,2.368863625,20.950668,20.88944187,20.91891344
80,2.6862576,2.918657926,2.496223916,1.7034242,1.899012582,1.638115656,2.5951567,2.80670267,2.43934661,20.966127,20.99603973,20.92036388
80.5,2.4526215,2.703203898,2.259724218,1.767362,1.923201324,1.612941673,2.595825,2.657550627,2.496596298,20.940109,20.97799411,20.90254073
81,2.5900009,2.744620743,2.448388266,1.723109,1.869371516,1.640118223,2.5680196,2.628257154,2.439912701,20.963709,21.06643493,20.91841182
81.5,2.6051397,2.86978719,2.439502826,1.7377979,1.860080287,1.616394349,2.6036139,2.773128556,2.545932919,20.967457,21.02535035,20.90526809
82,2.6114933,2.722217886,2.476169746,1.741079,1.869770422,1.608823057,2.6196146,2.660386852,2.64209653,20.948694,21.03737616,20.94074697
82.5,2.5045333,2.622102512,2.372130112,1.6878505,1.822847913,1.638572883,2.6362016,2.679740289,2.405449072,20.931667,21.01154509,20.86304525
83,2.6638796,2.795801596,2.403731865,1.7420739,1.843443995,1.656126879,2.6498909,2.758672062,2.443908818,20.972427,21.01206502,20.94198424
83.5,2.5681028,2.711244868,2.324053846,1.7724589,1.901366057,1.653972578,2.6340473,2.831843217,2.448349956,20.94784,20.97048321,20.89300367
84,2.4458768,2.570315271,2.378963264,1.7920941,1.873140873,1.734467026,2.6557863,2.737096479,2.439620724,20.922733,21.05573043,20.94499497
84.5,2.3779018,2.647264553,2.167994806,1.8039724,1.891249627,1.687401338,2.7014256,2.790842225,2.563094433,20.950922,21.05860042,20.87677999
85,2.22212,2.349277551,2.061297987,1.7880453,1.83516519,1.637174706,2.7377152,2.824343726,2.617677312,20.965195,21.04714429,20.90880631
85.5,2.6183975,2.780912163,2.531638319,1.8128659,1.8887638,1.67587766,2.7236431,2.814196041,2.618939011,20.958012,21.01787481,20.89456692
86,2.6740801,2.821752733,2.49782233,1.8724622,2.002068432,1.724037484,2.7656751,2.923710259,2.639780181,21.015074,21.0402099,21.0322534
86.5,2.4937139,2.860508502,2.506223154,1.8430986,1.9634452,1.786892049,2.754374,2.877994312,2.577734902,20.96604,21.0013351,20.97545636
87,2.4089942,2.542719161,2.193018817,1.8307977,1.941256976,1.69524054,2.7097826,2.648601844,2.713650847,20.932833,20.98626113,20.92084544
87.5,2.3627479,2.596349921,2.169736811,1.8245466,1.987655779,1.840361871,2.7447538,2.989778363,2.688103319,20.943686,21.07403359,20.97257215
88,2.4637921,2.799803541,2.164794741,1.7802429,1.980905364,1.703660791,2.7316115,2.680959882,2.758005366,20.922188,21.00091157,20.82910697
88.5,2.5413554,2.649412291,2.45562497,1.7607871,1.904449081,1.710350475,2.7338612,2.697788464,2.724333695,20.870306,20.92054321,20.81623417
89,2.4441679,2.581976192,2.265876605,1.815627,1.984229062,1.761687573,2.7750394,2.80894586,2.601104574,20.911686,20.98845969,20.852666
89.5,2.5375137,2.711657187,2.434475875,1.834908,2.003659752,1.800031198,2.7489042,2.910317681,2.785788967,20.856348,20.90035309,20.81132552
90,2.4264271,2.528363633,2.31394638,1.8741878,2.011354543,1.707537628,2.7484989,2.679357308,2.588969787,20.882864,20.89595541,20.86612512
90.5,2.3839223,2.672355965,2.408515957,1.8719878,2.033597411,1.806383223,2.6698983,2.846496326,2.682735465,20.919292,21.00579588,20.95703057
91,2.413038,2.577887109,2.303262724,1.7899587,1.820061197,1.674134076,2.6531785,2.776371696,2.566025024,20.91744,20.93404996,20.93407585
91.5,2.5086281,2.788427878,2.327873789,1.8300483,2.037313765,1.663683863,2.7025485,2.683438653,2.64947836,20.872816,20.93661094,20.83049398
92,2.2641618,2.500459851,2.083444632,1.8159738,1.993621544,1.730444905,2.6671443,2.600440509,2.643612196,20.88549,20.98823009,20.87391382
92.5,2.5944908,2.795862554,2.506676245,1.8454735,2.029361783,1.746553263,2.7044609,2.851129753,2.618315244,20.856125,20.96607716,20.79224824
